FileID;participant_role;de-identified data publication;publication of video/audio material;language;gender;age;handedness;dialect;first_language;years_familiarity;frequency_of_meeting;has_parts;microphone make;microphone type;audio card make;audio card type;audio recording software;file type;sampling rate;sample rate format/bits per sample;number of channels
r1_20140820;A;consent given;?;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r1_20140820;B;consent given;?;german;f;adult;;slight saxon?;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r2_20140820;A;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r2_20140820;B;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r3_20140821;A;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r3_20140821;B;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r4_20140821;A;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r4_20140821;B;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r5_20140821;A;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r5_20140821;B;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r6_20140821;A;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r6_20140821;B;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r7_20140822;A;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r7_20140822;B;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r8_20140822;A;consent given;consent given;german;m;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
r8_20140822;B;consent given;consent given;german;f;adult;;standard german;?;;;Pento_CV; Pento_CV_switched_roles;;;;;;44100 Hz;16;2
