experiment_ID,participant_ID,date,part,task,participant_role,de-identified data publication,publication of video/audio material,language,gender,age ,handedness,dialect,first_language,years_familiarity,frequency_of_meeting,microphone make,microphone type,audio card make,audio card type,audio recording software,file type,sampling rate,sample rate format/bits per sample,number of channels
r1,A,2015-01-20,p1,target,IG,consent_given,consent_given,German,m,31,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r1,A,2015-01-20,p2,target_with_landmark,IG,consent_given,consent_given,German,m,31,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r2,A,2015-01-20,p1,target,IG,consent_given,consent_given,German,m,23,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r2,A,2015-01-20,p2,target_with_landmark,IG,consent_given,consent_given,German,m,23,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r3,A,2015-01-21,p1,target,IG,consent_given,consent_given,German,f,21,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r3,A,2015-01-21,p2,target_with_landmark,IG,consent_given,consent_given,German,f,21,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r4,A,2015-01-21,p1,target,IG,consent_given,consent_given,German,f,22,right,standard german,Russian,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r4,A,2015-01-21,p2,target_with_landmark,IG,consent_given,consent_given,German,f,22,right,standard german,Russian,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r5,A,2015-01-22,p1,target,IG,consent_given,consent_given,German,f,22,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r5,A,2015-01-22,p2,target_with_landmark,IG,consent_given,consent_given,German,f,22,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r6,A,2015-01-22,p1,target,IG,consent_given,consent_given,German,f,20,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r6,A,2015-01-22,p2,target_with_landmark,IG,consent_given,consent_given,German,f,20,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r7,A,2015-01-23,p1,target,IG,consent_given,consent_given,German,f,19,left,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r7,A,2015-01-23,p2,target_with_landmark,IG,consent_given,consent_given,German,f,19,left,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r8,A,2015-01-23,p1,target,IG,consent_given,consent_given,German,f,17,right,standard german,German,,,,,,,,,,,
r8,A,2015-01-23,p2,target_with_landmark,IG,consent_given,consent_given,German,f,17,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r9,A,2015-01-23,p1,target,IG,consent_given,consent_given,German,m,24,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
r9,A,2015-01-23,p2,target_with_landmark,IG,consent_given,consent_given,German,m,24,right,standard german,German,,,Sennheiser,Headset-mircophone,unknown,unknown,VoxForge Speech Submission Application,wav,44100 Hz,32,1
